OrderID,OrderDate,CustomerName,Product,Region,Salesperson,Quantity,UnitPrice,Revenue,OrderStatus,PaymentMethod
ORD10000,32/13/2024,    ,Mouse   ,North,Amit,-7,1200,,Shipped,Cash
ORD10001,2025-07-29,Customer_341,Headset,South,Neha,1,800,800,delivered,Debit Card
ORD10002,2025-12-19,Customer_252,Keyboard,east,Priya,1,2500,2500,delivered,Net Banking
ORD10003,2024-03-12,Customer_7,Headset,North,Priya,8,500,4000, Returned,Credit Card
ORD10004,2024-05-09,Customer_22,Printer,West,Vikas,7,5000,35000,Shipped,UPI
ORD10005,2024-11-08,Customer_352,Webcam,east,Neha,8,800,6400,Delivered,Net Banking
ORD10006,2025-10-23,Customer_526,Tablet,east,Pooja,9,12000,108000,delivered,cash 
ORD10007,2025-03-05,Customer_384,Webcam,east,Rahul,1,25000,25000, Returned,UPI
ORD10008,2025-05-13,Customer_269,Keyboard,north ,Karan,6,1200,7200,Delivered,cash 
ORD10009,2025-04-12,Customer_397,Speaker,South,Priya,6,500,3000, Returned,Debit Card
ORD10010,2024-01-14,Customer_361,Monitor,north ,Amit,7,5000,35000, Returned,Debit Card
ORD10011,2025-05-21,Customer_239,Webcam,South,Pooja,8,800,6400,Shipped,Net Banking
ORD10012,2024-02-15,Customer_11,Keyboard,North,Vikas,8,800,6400,Returned,cash 
ORD10013,2024-10-05,Customer_445,Tablet,north ,Priya,1,500,500,delivered,Debit Card
ORD10014,2025-12-25,Customer_91,Mouse,east,Karan,7,500,3500,Delivered,Cash
ORD10015,2025-12-11,Customer_414,Laptop,West,Amit,6,1200,7200,delivered,Debit Card
ORD10016,2025-02-28,Customer_357,Laptop,North,Rahul,3,2500,7500,Returned,cash 
ORD10017,2024-08-28,Customer_81,Laptop,north ,Vikas,9,2500,22500,Cancelled,cash 
ORD10018,2024-10-25,Customer_399,Headset,East,Priya,3,5000,15000, Returned,Credit Card
ORD10019,2025-08-26,Customer_396,Tablet,South,Pooja,1,12000,12000, Returned,UPI
